path, orbit, block, line, sample, lat, lon, an, ca, cf, rms, weight, npts, cloud, var
164, 88146, 8, 353, 1113, 74.142161, 199.350790, 14.731885, 16.472386, 16.976805, 7.786667, 1.000000, 9.000000, -1, 3.667451
164, 88146, 8, 354, 1113, 74.143879, 199.343224, 14.763406, 16.499940, 17.125913, 7.156667, 1.000000, 3.000000, -1, 1.157651
164, 88146, 8, 354, 1114, 74.144452, 199.340707, 14.801635, 16.526051, 16.633750, 7.323333, 1.000000, 6.000000, -1, 1.340008
164, 88146, 8, 355, 1114, 74.145598, 199.335683, 14.820445, 16.550739, 16.725931, 7.266667, 1.000000, 9.000000, -1, 3.092374
164, 88146, 8, 356, 1114, 74.147314, 199.328158, 14.794390, 16.525968, 16.650752, 5.038750, 1.000000, 8.000000, -1, 0.660841
164, 88146, 8, 357, 1114, 74.148837, 199.321478, 14.813263, 16.520565, 16.601267, 4.306667, 1.000000, 3.000000, -1, 0.174420
164, 88146, 8, 357, 1115, 74.149408, 199.318978, 14.789548, 16.522339, 16.420858, 5.686667, 1.000000, 6.000000, -1, 0.433923
164, 88146, 8, 358, 1115, 74.150548, 199.313978, 14.824931, 16.542705, 16.610429, 5.814444, 1.000000, 9.000000, -1, 1.341708
164, 88146, 8, 359, 1115, 74.152259, 199.306495, 14.808401, 16.553182, 17.185555, 11.947778, 1.000000, 9.000000, -1, 6.628185
164, 88146, 8, 360, 1115, 74.153969, 199.299032, 14.857366, 16.567895, 17.596408, 7.635000, 1.000000, 2.000000, -1, 0.055000
164, 88146, 8, 360, 1116, 74.154350, 199.297376, 14.929929, 16.560091, 17.283848, 8.701429, 1.000000, 7.000000, -1, 1.839250
164, 88146, 8, 361, 1116, 74.155679, 199.291583, 15.076121, 16.544326, 17.527558, 7.456250, 1.000000, 8.000000, -1, 0.837256
164, 88146, 8, 362, 1116, 74.157199, 199.284976, 15.187030, 16.530143, 17.395294, 8.628889, 1.000000, 9.000000, -1, 2.387767
164, 88146, 8, 363, 1116, 74.158907, 199.277559, 15.267658, 16.548633, 17.157487, 7.470000, 1.000000, 2.000000, -1, 2.570000
164, 88146, 8, 363, 1117, 74.159287, 199.275912, 15.181059, 16.600108, 17.613021, 5.332857, 1.000000, 7.000000, -1, 1.094489
164, 88146, 8, 364, 1117, 74.160615, 199.270153, 15.192772, 16.667944, 17.629908, 6.055556, 1.000000, 9.000000, -1, 2.484419
164, 88146, 8, 365, 1117, 74.162321, 199.262759, 15.265644, 16.667905, 17.574529, 7.560000, 1.000000, 9.000000, -1, 2.291996
164, 88146, 8, 366, 1117, 74.164030, 199.255383, 15.258040, 16.598306, 17.639877, 6.265000, 1.000000, 2.000000, -1, 0.725000
164, 88146, 8, 366, 1118, 74.164409, 199.253745, 15.239020, 16.534386, 17.748200, 4.613333, 1.000000, 6.000000, -1, 0.556766
164, 88146, 8, 367, 1118, 74.165548, 199.248830, 15.190624, 16.467066, 17.509000, 5.488889, 1.000000, 9.000000, -1, 1.649299
164, 88146, 8, 368, 1118, 74.167255, 199.241462, 15.244626, 16.467957, 17.361391, 4.697778, 1.000000, 9.000000, -1, 0.347012
164, 88146, 8, 369, 1118, 74.168964, 199.234091, 15.200274, 16.479059, 17.567552, 5.153333, 1.000000, 3.000000, -1, 0.761329
164, 88146, 8, 369, 1119, 74.169534, 199.231632, 15.255941, 16.398005, 17.439372, 4.468333, 1.000000, 6.000000, -1, 0.202024
164, 88146, 8, 370, 1119, 74.170673, 199.226709, 15.148876, 16.368142, 17.796617, 4.840000, 1.000000, 9.000000, -1, 0.595091
164, 88146, 8, 371, 1119, 74.172385, 199.219316, 15.184492, 16.313766, 17.866038, 5.498889, 1.000000, 9.000000, -1, 0.269132
164, 88146, 8, 372, 1119, 74.174100, 199.211922, 15.217537, 16.254990, 17.798152, 5.006667, 1.000000, 3.000000, -1, 0.120370
164, 88146, 8, 372, 1120, 74.174673, 199.209459, 15.255751, 16.222990, 17.853140, 4.948000, 1.000000, 5.000000, -1, 0.376425
164, 88146, 8, 373, 1120, 74.175630, 199.205350, 15.287602, 16.202727, 17.840185, 6.075556, 1.000000, 9.000000, -1, 1.662415
164, 88146, 8, 374, 1120, 74.177352, 199.197947, 15.280085, 16.228466, 17.783285, 8.206667, 1.000000, 9.000000, -1, 2.316242
164, 88146, 8, 375, 1120, 74.179073, 199.190532, 15.309693, 16.266784, 17.516843, 13.220000, 1.000000, 4.000000, -1, 5.776604
164, 88146, 8, 375, 1121, 74.179838, 199.187238, 15.318851, 16.279684, 17.536991, 9.352000, 1.000000, 5.000000, -1, 2.284657
164, 88146, 8, 376, 1121, 74.180794, 199.183122, 15.430701, 16.303016, 17.202007, 14.041111, 1.000000, 9.000000, -1, 10.521801
164, 88146, 8, 377, 1121, 74.182513, 199.175719, 15.553881, 16.336286, 17.293394, 7.458750, 1.000000, 8.000000, -1, 4.317752
164, 88146, 8, 378, 1121, 74.184039, 199.169147, 15.588877, 16.366757, 17.578495, 8.790000, 1.000000, 5.000000, -1, 4.003643
164, 88146, 8, 378, 1122, 74.184992, 199.165042, 15.726739, 16.404434, 17.528044, 12.167500, 1.000000, 4.000000, -1, 3.994761
164, 88146, 8, 379, 1122, 74.185754, 199.161758, 15.620072, 16.436287, 17.509316, 6.546667, 1.000000, 9.000000, -1, 2.138182
164, 88146, 8, 380, 1122, 74.187467, 199.154381, 15.555308, 16.450492, 17.362618, 6.268889, 1.000000, 9.000000, -1, 1.696431
164, 88146, 8, 381, 1122, 74.189182, 199.147018, 15.700176, 16.434289, 17.437898, 3.428000, 1.000000, 5.000000, -1, 0.265737
164, 88146, 8, 381, 1123, 74.190134, 199.142929, 15.655218, 16.427561, 17.434558, 3.312500, 1.000000, 4.000000, -1, 0.404745
164, 88146, 8, 382, 1123, 74.190895, 199.139658, 15.723596, 16.388500, 17.479262, 3.677778, 1.000000, 9.000000, -1, 0.397346
164, 88146, 8, 383, 1123, 74.192606, 199.132305, 15.716237, 16.355392, 17.398891, 3.666250, 1.000000, 8.000000, -1, 0.439430
164, 88146, 8, 384, 1123, 74.194123, 199.125768, 15.676175, 16.346188, 17.202211, 3.093333, 1.000000, 6.000000, -1, 0.157762
164, 88146, 8, 384, 1124, 74.195258, 199.120863, 15.641320, 16.363420, 17.240963, 4.410000, 1.000000, 3.000000, -1, 0.366879
164, 88146, 8, 385, 1124, 74.195825, 199.118408, 15.645850, 16.356299, 16.877915, 3.787143, 1.000000, 7.000000, -1, 1.065253
164, 88146, 8, 389, 1125, 74.202725, 199.087948, 15.914328, 16.287523, 17.751000, 5.041250, 1.000000, 8.000000, -1, 0.810408
164, 88146, 8, 390, 1125, 74.204192, 199.081312, 15.865550, 16.254060, 17.875209, 3.247500, 1.000000, 4.000000, -1, 0.128720
164, 88146, 8, 390, 1126, 74.204923, 199.077986, 15.905154, 16.235377, 17.849178, 3.084000, 1.000000, 5.000000, -1, 0.255546
164, 88146, 8, 391, 1126, 74.205833, 199.073826, 15.907707, 16.194976, 17.911659, 3.736000, 1.000000, 5.000000, -1, 0.145822
164, 88146, 8, 407, 1132, 74.232342, 198.949731, 15.688130, 16.053338, 17.245172, 3.564000, 1.000000, 5.000000, -1, 0.088000
164, 88146, 8, 413, 1134, 74.241811, 198.905325, 15.669766, 15.624728, 17.672368, 10.562857, 1.000000, 7.000000, -1, 7.879419
164, 88146, 8, 414, 1134, 74.243049, 198.899446, 15.595950, 15.480404, 17.698698, 5.374444, 1.000000, 9.000000, -1, 2.681671
164, 88146, 8, 415, 1135, 74.244644, 198.891911, 15.462217, 15.216577, 17.769800, 11.694444, 1.000000, 9.000000, -1, 10.630556
164, 88146, 8, 416, 1135, 74.246244, 198.884406, 15.450264, 15.090338, 17.859177, 4.520000, 1.000000, 3.000000, -1, 0.887393
164, 88146, 8, 417, 1135, 74.248027, 198.876099, 15.439945, 15.001477, 17.696246, 6.910000, 1.000000, 1.000000, -1, 0.000000
164, 88146, 8, 418, 1136, 74.249815, 198.867822, 15.480517, 14.946186, 17.525067, 6.631250, 1.000000, 8.000000, -1, 1.976256
164, 88146, 8, 419, 1136, 74.251246, 198.861211, 15.525117, 14.953092, 17.477988, 5.081429, 1.000000, 7.000000, -1, 1.641249
164, 88146, 8, 420, 1136, 74.252856, 198.853793, 15.544548, 14.953017, 17.394839, 12.600000, 1.000000, 3.000000, -1, 6.738759
